id_slug,categoria,nombre,entidad,area,modalidad,localidad,provincia,formato,certificacion_tipo,certificacion_oficial,practicas_empresa,horas_totales,horas_practicas,fecha_inicio,fecha_fin,estado,coste,requisitos_resumen,encaje_daw_1_5,prioridad,tags,fuente_url,ultima_revision,notas
ifcd0210_euroformac_2026,curso,IFCD0210 - Desarrollo de aplicaciones con tecnologías web,Grupo Euroformac,Desarrollo web / programación,Presencial,Granada / Andalucía a confirmar,Granada,Certificado profesional subvencionado,Certificado profesional IFCD0210,Sí,Sí,590,80,2026-04-22,2026-09-24,En plazo / plazas disponibles a revisar,Gratuito subvencionado,Demanda de empleo activa y requisitos de acceso de nivel 3,5,Alta,web|javascript|servidor|cliente|certificado profesional|practicas,https://cursosgratuitos.grupoeuroformac.com/ifcd0210-desarrollo-aplicaciones-con-tecnologias-web-56738,2026-05-01,Muy alineado con DAW. Confirmar centro exacto antes de mostrar como presencial Granada cerrado.
ifcd0210_itgranada,curso,IFCD0210 - Desarrollo de aplicaciones con tecnologías web,ITGranada,Desarrollo web / programación,Presencial / convocatoria a revisar,Granada,Granada,Certificado profesional,Certificado profesional IFCD0210,Sí,Sí,590,80,,,Revisar próxima convocatoria,A revisar / posible subvencionado,Nivel 3; revisar requisitos de convocatoria,5,Alta,web|frontend|backend|implantacion|practicas|certificado profesional,https://itgranada.com/ifcd0210/,2026-05-01,"Incluye entorno cliente, servidor, implantación y módulo de prácticas profesionales no laborales."
ifcd0110_itgranada,curso,IFCD0110 - Confección y publicación de páginas web,ITGranada,Diseño web / HTML / CSS / publicación web,Presencial / convocatoria a revisar,Granada,Granada,Certificado profesional,Certificado profesional IFCD0110,Sí,Sí,560,80,,,Revisar próxima convocatoria,A revisar / posible subvencionado,Nivel 2; revisar requisitos de convocatoria,4,Alta,html|css|web|publicacion|certificado profesional|practicas,https://itgranada.com/ifcd0110/,2026-05-01,Buena base para portfolio web. Más básico que IFCD0210.
ifcd0110_atlantida_formacion,curso,IFCD0110 - Confección y publicación de páginas web,Atlántida Formación,Diseño web / publicación web,Presencial,Granada,Granada,Certificado profesional subvencionado,Certificado profesional IFCD0110,Sí,Sí,390,,,,Catálogo / inscripción a revisar,Subvencionado,Dirigido a desempleados según ficha,4,Alta,html|css|web|certificado profesional|desempleados,https://atlantidaformacion.com/certificados-profesionales/,2026-05-01,"La página indica titulación oficial, prácticas en empresas y formación subvencionada."
cpifp_hurtado_mendoza_certificados_profesionales,curso,Certificados profesionales gratuitos con formación en empresa,CPIFP Hurtado de Mendoza,Formación profesional para el empleo,Presencial,Granada,Granada,Certificados profesionales,Certificado profesional según convocatoria,Sí,Sí / modalidad Dual,,,,,Revisar convocatoria vigente,Gratuito,Depende del certificado y nivel,3,Media,certificados profesionales|dual|granada|empleo,https://www.hurtadodemendoza.es/certificadosprofesionalidad/,2026-05-01,"Fuente útil para captar cursos con prácticas, aunque hay que filtrar los que sean de informática."
ayuntamiento_granada_fpe_catalogo,curso,Catálogo de certificados profesionales acreditados,Ayuntamiento de Granada,Formación Profesional para el Empleo,Presencial / según curso,Granada,Granada,Buscador / catálogo de certificados profesionales,Certificados profesionales y especialidades formativas,"Sí, si es certificado profesional",Sí en certificados profesionales de nivel C,,,,,Fuente recurrente para revisar,A revisar / normalmente subvencionado,Depende de cada acción formativa,3,Media,ayuntamiento|granada|fpe|certificados profesionales,https://www.granada.org/inet/empleo.nsf/04bc136cad360c5cc1257999003be7a2/8e51b08752699a83c1258b07002c3a1e%21OpenDocument,2026-05-01,"Meterlo como fuente de monitorización en la app, no como curso individual cerrado."
junta_andalucia_buscador_fpe_granada_informatica,curso,Buscador de cursos de Formación para el Empleo - Granada / Informática,Junta de Andalucía,Formación Profesional para el Empleo,Presencial / teleformación,Granada,Granada,Buscador oficial,"Programa formativo, certificado de competencia o certificado profesional","Sí, según tipo de curso",Depende del curso,,,,,Fuente recurrente para revisar,Gratuito si está financiado por Junta,"Personas desempleadas u ocupadas, según ficha",4,Alta,junta andalucia|fpe|granada|informatica|certificado profesional,https://www.juntadeandalucia.es/empleoformacionytrabajoautonomo/formacion/web/buscador-de-cursos,2026-05-01,Útil para automatizar avisos en la app con filtros provincia Granada + familia Informática y comunicaciones.
daw_atlantida_fp_presencial_granada,fp,FP Grado Superior Desarrollo de Aplicaciones Web (DAW),Atlántida Formación Profesional,DAW / desarrollo web,Dual presencial,Granada,Granada,Ciclo formativo de Grado Superior,Título oficial de Técnico Superior en Desarrollo de Aplicaciones Web,Sí,Sí / FCT / Dual,2000,,2026-09-01,,Próximo curso / matrícula a revisar,Privado / desde 198 €/mes según fuente,"Bachiller, FP Grado Medio/Superior, prueba de acceso u otros equivalentes",5,Alta,daw|fp oficial|java|php|javascript|html|css|mysql|fct,https://atlantidaformacionprofesional.es/fp-grado-superior-desarrollo-aplicaciones-web/,2026-05-01,"Muy fuerte para app porque combina título oficial, prácticas y Granada."
daw_atlantida_fp_distancia,fp,FP Desarrollo de Aplicaciones Web a distancia,Atlántida Formación Profesional,DAW / desarrollo web,A distancia,Online / Granada,Granada,Ciclo formativo de Grado Superior,Título oficial de Técnico Superior en Desarrollo de Aplicaciones Web,Sí,Sí / FCT,2000,,,,Matrícula a revisar,Privado,Requisitos de acceso a Grado Superior,5,Alta,daw|online|fp oficial|fct|java|web,https://atlantidaformacionprofesional.es/fp-grado-superior-desarrollo-aplicaciones-web-distancia/,2026-05-01,Interesante si el usuario busca modalidad online con título oficial.
daw_escuela_stem_granada,fp,Grado Superior Desarrollo de Aplicaciones Web (DAW),Escuela STEM Granada,DAW / desarrollo web,Presencial,Granada,Granada,Ciclo formativo de Grado Superior,Título oficial de Técnico Superior en Desarrollo de Aplicaciones Web,Sí,Sí / entorno real y prácticas oficiales,2000,,,,Matrícula a revisar,Privado,"Bachillerato, ciclo medio/superior, prueba de acceso u homologación equivalente",5,Alta,daw|fp oficial|granada|programacion|web|practico,https://dawgranada.com/,2026-05-01,Centro especializado solo en FP oficial de informática.
daw_escuela_arte_granada_2026,fp,Ciclo Formativo Grado Superior Desarrollo de Aplicaciones Web,Escuela Arte Granada,DAW / desarrollo web,100% presencial,Granada,Granada,Ciclo formativo de Grado Superior,Título oficial de Técnico Superior en Desarrollo de Aplicaciones Web,Sí,Sí / Formación Dual,2000,,2026-09-15,,Próximo inicio,Privado,"Bachillerato, FP Medio/Superior, prueba de acceso u otros",5,Alta,daw|fp oficial|formacion dual|javascript|php|sql|granada,https://www.escuelaartegranada.com/aplicaciones-web,2026-05-01,"La fuente destaca Formación Dual, bolsa de empleo e inserción laboral."
daw_itgranada_presencial_granada_loja,fp,Grado Superior Desarrollo de Aplicaciones Web,ITGranada,DAW / desarrollo web,Presencial,Granada / Loja,Granada,Ciclo formativo de Grado Superior,Título oficial de Técnico Superior en Desarrollo de Aplicaciones Web,Sí,Sí / FCT,2000,,,,Matrícula a revisar,Privado,Requisitos de acceso a Grado Superior,5,Alta,daw|granada|loja|fp oficial|bases de datos|programacion,https://itgranada.com/desarrollo-de-aplicaciones-web/,2026-05-01,Centro en Granada capital y Loja; fuente menciona formación práctica y prácticas en empresas en testimonio.
daw_efa_el_soto_online,fp,Técnico Superior en Desarrollo de Aplicaciones Web,EFA El Soto,DAW / desarrollo web,Online,Online / Granada,Granada,Ciclo formativo de Grado Superior,Título oficial de Técnico Superior en Desarrollo de Aplicaciones Web,Sí,Sí,2000,680,,,Matrícula a revisar,Privado / financiable,Requisitos de acceso a Grado Superior,5,Alta,daw|online|fp oficial|practicas empresa|web,https://efaelsoto.com/catalogo-cursos/formacion-reglada/cf-grado-superior/daw-tecnico-superior-en-desarrollo-de-aplicaciones-web-online/,2026-05-01,La fuente indica 680 horas de formación práctica en empresa.
davante_programacion_web_online_granada,curso,Curso Programación Web,Davante / MasterD,Programación web Full Stack,Online abierta / semipresencial con centro en Granada,Granada / Online,Granada,Curso profesional,"Certificado del centro, opción de certificado profesional por acreditación y Scrum Master",Parcial / a través de acreditación externa,Opcional / gestión de prácticas,975,,,,Inicio flexible,Privado,Solicitar información,4,Media,html|css|javascript|php|mysql|node|spring|python|scrum|practicas opcionales,https://www.davante.es/cursos/informatica/programacion-web,2026-05-01,"Buena opción si quiere algo flexible, pero marcar prácticas como opcionales y no garantizadas."
code_space_desarrollo_web_online_impulsa,curso,Curso Desarrollo Web Online - A tu ritmo Impulsa,CODE SPACE Academy,Desarrollo web,Online,Online,Online,Bootcamp / curso profesional,Título propio + certificación oficial externa si aprueba prueba,"Sí, si supera prueba oficial externa",Sí en modalidad Impulsa,,,,,Inscripción abierta a revisar,Privado,Solicitar información,4,Media,desarrollo web|online|certificacion|practicas|bootcamp,https://codespaceacademy.com/curso-desarrollo-web-online/,2026-05-01,"Interesante por prácticas, pero revisar precio de la modalidad Impulsa antes de mostrarlo como recomendación principal."
generation_programacion_web_java_online,curso,Programación Web Java,Fundación Generation Spain,Java / desarrollo web / empleabilidad,Online,Online,Online,Bootcamp gratuito orientado al empleo,Certificado de finalización / programa de empleabilidad,No especificado como título oficial,No consta; conexión con empresas,17 semanas,,,,Próximamente / registra interés,Gratuito,18-29 años según página de carreras; revisar convocatoria,5,Alta,java|web|css|bootstrap|empleabilidad|online|gratuito,https://spain.generation.org/programacion-web-java/,2026-05-01,"Muy alineado con perfil DAW junior por Java y foco en empleo, aunque no se presenta como certificado profesional oficial."
