id_slug,categoria,nombre,entidad,tipo,localidad,provincia,modalidad,fecha_inicio,fecha_fin,estado,inscripcion_hasta,certificacion_o_premio,practicas_empresa,encaje_daw_1_5,prioridad,tags,fuente_url,incluido_en_readme_original,ultima_revision,notas
ideas_factory_ugr_2026,hackathon_reto,Ideas Factory by UGR,UGR Emprendedora,Reto / hackathon de ideas / emprendimiento,Granada,Granada,Presencial,2026-10-15,2026-10-17,Pendiente,2026-10-09,A revisar,No,4,Alta,emprendimiento|mvp|pitch|ugr|granada,https://ideasfactory.es/ugr/,Sí,2026-05-01,"Buen sitio para presentar proyectos tipo AIDraft, Feedback2Action o app de empleo."
opensouthcode_2026,evento_tech,OpenSouthCode 2026,OpenSouthCode,Evento tecnológico / open source,Málaga,Málaga,Presencial,2026-06-26,2026-06-27,Pendiente,2026-06-27,Networking / comunidad,No,5,Alta,open source|software libre|networking|malaga|portfolio,https://www.opensouthcode.org/conferences/opensouthcode2026,Sí,2026-05-01,"Muy recomendable para portfolio, GitHub y contactos."
talent_job_hackathon_uma_2026,hackathon_reto,Talent & Job Hackathon UMA,UMA / Talentank,Hackathon de empleabilidad,Málaga,Málaga,Presencial,2026-05-05,2026-05-05,Pendiente / inscripción cerrada probablemente,2026-04-26,Empleabilidad / networking,No,3,Media,empleabilidad|hackathon|uma|malaga,https://talentank.uma.es/talent-and-job/,Sí,2026-05-01,Revisar si aceptan externos a UMA.
aircury_summer_of_code,reto_programacion,Aircury Summer of Code,Aircury / GranadaDev,Beca / reto de programación / open source,Granada,Granada,A revisar,,,Revisar futura edición,,Becas localizadas de 3.000 € en edición anterior,No,5,Alta,open source|programacion|beca|granada|estudiantes,https://granadev.es/summer-of-code.html,Sí,2026-05-01,De lo mejor para DAW si se repite.
gen_ai_arena_sidn_2026,hackathon_reto,GEN AI ARENA by SIDN / GDG Granada,SIDN / GDG Granada,Hackathon de IA aplicada a negocio y marketing,Granada,Granada,Presencial final,2026-04-22,2026-04-24,Realizado,,Experiencia portfolio / hackathon empresa,No,5,Alta,ia|datos|google cloud|bigquery|marketing|granada|sidn,https://www.arenasidn.com/,Sí,2026-05-01,Guardar como experiencia real en CV/portfolio.
hackathon_granada_salud_2025,hackathon_reto,Hackathon Andalucía Emprende Granada Salud,Andalucía Emprende / Granada Salud,"Hackathon de salud, IA, emprendimiento y FP/universidad",Granada,Granada,Presencial,2025-10-29,2025-10-29,Realizado / revisar futura edición,,Reto real / emprendimiento,No,4,Alta,ia|salud|fp|universidad|granada,https://canal.ugr.es/convocatoria/hackathon-andalucia-emprende-granada-salud-2025/,Sí,2026-05-01,Muy interesante para apps de salud o gestión clínica.
hackathon_lactalis_puleva_ugr_2025,hackathon_reto,Hackathon de Innovación Lactalis Puleva - UGR,Lactalis Puleva / UGR,Hackathon empresarial / innovación,Granada,Granada,Presencial,2025-10-30,,Realizado / revisar futura edición,,Reto empresarial / innovación,No,3,Media,innovacion|empresa|pitch|granada|ugr,https://incubadoradetalento.es/incubadora-de-talento/programas-especificos-de-capacitacion/hackathon-lactalis-2/,Sí,2026-05-01,"Más negocio que código, pero útil para hablar de producto."
nasa_space_apps_malaga_2025,hackathon_reto,NASA Space Apps Challenge Málaga,NASA Space Apps / Cátedra Telefónica UMA,Hackathon global STEAM / datos abiertos,Málaga,Málaga,Presencial,2025-10-03,2025-10-05,Realizado / revisar edición 2026,,Hackathon global / portfolio,No,5,Alta,nasa|datos abiertos|ia|dashboard|mapas|malaga,https://catedratelefonicauma.es/en/space-apps-challenge-2025/,Sí,2026-05-01,"Ideal para dashboards, APIs, IA y visualización."
generacion_fp_malaga_2025,hackathon_reto,#GeneraciónFP - Megahackathon de Innovación Social Digital,Diverxia / entidades colaboradoras,Megahackathon para Formación Profesional,Málaga,Málaga,Presencial,2025-11-18,2025-11-18,Realizado / revisar edición 2026,,Reto FP / innovación social,No,5,Alta,fp|innovacion social|digital|malaga,https://www.vidaeconomica.com/2025/10/hackathon-innovacion-social-digital-fp-malaga-2025/,Sí,2026-05-01,Muy interesante por estar orientado a FP.
hackforgood_malaga,hackathon_reto,HackForGood Málaga / UMA,UMA / Cátedra Telefónica,Hackathon social / tecnología para impacto,Málaga,Málaga,Presencial / a revisar,,,Revisar futura edición,,Impacto social / portfolio,No,4,Media,ods|impacto social|tecnologia|malaga,https://www.uma.es/sala-de-prensa/noticias/la-universidad-de-malaga-se-une-al-hackathon-hackforgood-convocado-por-la-catedra-telefonica/,Sí,2026-05-01,Vigilar si se reactiva.
reto_cosentino_ual_2026,hackathon_reto,Reto Cosentino - UAL,Cosentino / Universidad de Almería,Reto intensivo / hackathon empresarial,Almería,Almería,Presencial,2026-03-06,2026-03-07,Realizado / revisar IV edición,,Reto empresa real / mentoría,No,4,Alta,empresa|prototipo|mentoria|almeria|ual,https://w3.ual.es/retoCosentino/,Sí,2026-05-01,Buen reto de negocio y prototipado.
ciber_ole_almeria_2025,hackathon_reto,CIBER OLÉ Almería,CIBER OLÉ / UAL,Hackathon / ciberseguridad / emprendimiento,Almería,Almería,Presencial,2025-12-02,2025-12-04,Realizado / revisar futura edición,,Ciberseguridad / producto,No,4,Media,ciberseguridad|emprendimiento|almeria,https://ciber-ole.eu/evento-almeria-2025,Sí,2026-05-01,Interesante si se abre línea de ciberseguridad.
indesiahack_2025,hackathon_reto,IndesIAHack,IndesIA,Hackathon de IA industrial,Participación nacional / Almería como preparación UAL,Almería,A revisar,2025-11-19,2025-11-21,Realizado / revisar futura edición,,IA industrial / reto nacional,No,4,Media,ia|industria|datos|hackathon,https://indesiahack.org/premioindesiahack/,Sí,2026-05-01,Más avanzado; bueno para IA + backend + datos.
uja_cyberchallenge_2025,hackathon_reto,Hackathon UJA CyberChallenge,Universidad de Jaén,Hackathon de ciberseguridad,Jaén,Jaén,Presencial,2025-04-03,2025-04-04,Realizado / revisar 2026-2027,,Ciberseguridad / reto universitario,No,4,Media,ciberseguridad|uja|jaen,https://eps.ujaen.es/noticias/hackathon-uja-cyberchallenge,Sí,2026-05-01,Puede requerir vínculo con UJA.
hackathon_ciberseguridad_linares_2026,hackathon_reto,III Hackathon de Ciberseguridad y Emprendimiento - Linares,Cámara de Comercio de Linares / Evolutio,Hackathon de ciberseguridad y emprendimiento,Linares,Jaén,Presencial,2026-03-25,2026-03-26,Realizado / revisar siguiente edición,,Ciberseguridad / emprendimiento,No,4,Media,ciberseguridad|emprendimiento|linares|jaen,https://cadenaser.com/andalucia/2026/03/25/linares-se-consolida-como-referente-tecnologico-con-el-iii-hackathon-de-ciberseguridad-y-emprendimiento-radio-linares/,Sí,2026-05-01,Revisar próxima edición.
ciber_ole_jaen_2025,hackathon_reto,CIBER OLÉ Jaén,CIBER OLÉ / UJA,Hackathon / ciberseguridad / emprendimiento,Jaén,Jaén,Presencial,2025-11-05,2025-11-07,Realizado / revisar futura edición,,Ciberseguridad / startup,No,4,Media,ciberseguridad|startup|jaen,https://ciber-ole.eu/info-hack-jaen,Sí,2026-05-01,Buena línea si interesa producto ciber.
hackathon_emacsa_2026,hackathon_reto,Hackathon EMACSA - Define el futuro del agua,EMACSA / UCO,"Hackathon sobre agua, sostenibilidad e innovación",Córdoba,Córdoba,Presencial,2026-04-10,2026-04-11,Realizado / revisar siguiente edición,2026-03-06,2 becas formativas de 8 meses en edición 2026,Beca formativa posible,5,Alta,sostenibilidad|agua|fp|universidad|becas|cordoba,https://www.uco.es/servicios/actualidad/noticiasactualidaddia/item/164328-emacsa-concedera-dos-becas-formativas-de-ocho-meses-a-traves-de-su-hackathon-define-el-futuro-del-agua,Sí,2026-05-01,Muy interesante por posibilidad de becas formativas.
hackathon_ia_agricultura_uco_2026,hackathon_reto,Hackathon IA y Agricultura - UCO,Cátedra Internacional ENIA / UCO,Hackathon de IA aplicada al sector agroalimentario,Córdoba,Córdoba,Presencial,2026-03-18,2026-03-18,Realizado / revisar siguiente edición,,Reto IA agroalimentario,No,5,Alta,ia|agricultura|llm|datos|cordoba,https://www.uco.es/servicios/actualidad/sociedad/item/164675-la-catedra-internacional-enia-de-la-uco-convoca-un-hackathon-sobre-inteligencia-artificial-y-agricultura,Sí,2026-05-01,"Muy alineado con IA, backend y datos."
adabyron_andalucia_2026,concurso_programacion,AdaByron Andalucía - Concurso Universitario de Programación,AdaByron / UCO,Concurso de programación competitiva,Córdoba y otras sedes andaluzas,Córdoba,Presencial,2026-04-17,2026-04-17,Realizado / revisar próxima edición,,Programación competitiva,No,3,Media,algoritmos|programacion competitiva|cordoba|andalucia,https://ada-byron.es/2026/reg/andalucia/,Sí,2026-05-01,"Bueno para lógica, pero menos orientado a app/portfolio."
gdg_granada,evento_tech,GDG Granada,Google Developer Groups Granada,Comunidad tecnológica / eventos,Granada,Granada,Presencial / online según evento,,,Fuente recurrente,,Networking / charlas / retos,No,4,Alta,google|cloud|ia|comunidad|granada,https://www.meetup.com/es-ES/granadagdg/,Sí,2026-05-01,Meter como fuente fija en la app para detectar nuevos eventos.
ai_granada,evento_tech,AI Granada,AI Granada,Comunidad / eventos de IA,Granada,Granada,Presencial / online según evento,,,Fuente recurrente,,Networking / IA,No,4,Alta,ia|granada|eventos|comunidad,https://aigranada.com/eventos/,Sí,2026-05-01,Fuente clave para eventos de IA en Granada.
