ciclo_siglas,skill_id,orden_global,etapa,bloque,modulo_codigo,modulo_nombre,nivel_objetivo,obligatoria_roadmap_base,basico_antes_de_empezar,prerrequisito_texto
DAW,BAS-001,1,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,0,sí,sí,
DAM,BAS-001,1,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,0,sí,sí,
DAW,BAS-002,2,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,0,sí,sí,"Antes de esto conviene saber: Gestionar archivos, carpetas y copias de seguridad."
DAM,BAS-002,2,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,0,sí,sí,"Antes de esto conviene saber: Gestionar archivos, carpetas y copias de seguridad."
DAW,BAS-003,3,0_antes_de_empezar,Pensamiento lógico,PRE,Preparación previa,0,sí,sí,
DAM,BAS-003,3,0_antes_de_empezar,Pensamiento lógico,PRE,Preparación previa,0,sí,sí,
DAW,BAS-004,4,0_antes_de_empezar,Fundamentos de Internet,PRE,Preparación previa,0,sí,sí,Antes de esto conviene saber: Resolver problemas mediante algoritmos simples.
DAM,BAS-004,4,0_antes_de_empezar,Fundamentos de Internet,PRE,Preparación previa,0,sí,sí,Antes de esto conviene saber: Resolver problemas mediante algoritmos simples.
DAW,BAS-005,5,0_antes_de_empezar,Método de estudio técnico,PRE,Preparación previa,0,sí,sí,
DAM,BAS-005,5,0_antes_de_empezar,Método de estudio técnico,PRE,Preparación previa,0,sí,sí,
DAW,SI-001,6,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,1,sí,no,"Antes de esto conviene saber: Gestionar archivos, carpetas y copias de seguridad; Usar terminal y comandos esenciales."
DAM,SI-001,6,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,1,sí,no,"Antes de esto conviene saber: Gestionar archivos, carpetas y copias de seguridad; Usar terminal y comandos esenciales."
DAW,SI-002,7,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,1,sí,no,Antes de esto conviene saber: Instalar y configurar un sistema de trabajo; Comprender cómo funciona una aplicación conectada.
DAM,SI-002,7,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,1,sí,no,Antes de esto conviene saber: Instalar y configurar un sistema de trabajo; Comprender cómo funciona una aplicación conectada.
DAW,BD-001,8,1_fundamentos,Bases de datos,0484,Bases de Datos,1,sí,no,Antes de esto conviene saber: Resolver problemas mediante algoritmos simples.
DAM,BD-001,8,1_fundamentos,Bases de datos,0484,Bases de Datos,1,sí,no,Antes de esto conviene saber: Resolver problemas mediante algoritmos simples.
DAW,BD-002,9,1_fundamentos,Bases de datos,0484,Bases de Datos,1,sí,no,Antes de esto conviene saber: Modelar datos relacionales.
DAM,BD-002,9,1_fundamentos,Bases de datos,0484,Bases de Datos,1,sí,no,Antes de esto conviene saber: Modelar datos relacionales.
DAW,BD-003,10,1_fundamentos,Bases de datos,0484,Bases de Datos,2,sí,no,Antes de esto conviene saber: Crear y consultar una base de datos con SQL; Aplicar red y seguridad básica.
DAM,BD-003,10,1_fundamentos,Bases de datos,0484,Bases de Datos,2,sí,no,Antes de esto conviene saber: Crear y consultar una base de datos con SQL; Aplicar red y seguridad básica.
DAW,PRO-001,11,1_fundamentos,Programación,0485,Programación,1,sí,no,Antes de esto conviene saber: Resolver problemas mediante algoritmos simples.
DAM,PRO-001,11,1_fundamentos,Programación,0485,Programación,1,sí,no,Antes de esto conviene saber: Resolver problemas mediante algoritmos simples.
DAW,PRO-002,12,1_fundamentos,Programación,0485,Programación,1,sí,no,"Antes de esto conviene saber: Programar con variables, decisiones y bucles."
DAM,PRO-002,12,1_fundamentos,Programación,0485,Programación,1,sí,no,"Antes de esto conviene saber: Programar con variables, decisiones y bucles."
DAW,PRO-003,13,1_fundamentos,Programación,0485,Programación,2,sí,no,Antes de esto conviene saber: Diseñar funciones y trabajar con colecciones.
DAM,PRO-003,13,1_fundamentos,Programación,0485,Programación,2,sí,no,Antes de esto conviene saber: Diseñar funciones y trabajar con colecciones.
DAW,PRO-004,14,1_fundamentos,Programación,0485,Programación,2,sí,no,Antes de esto conviene saber: Aplicar programación orientada a objetos.
DAM,PRO-004,14,1_fundamentos,Programación,0485,Programación,2,sí,no,Antes de esto conviene saber: Aplicar programación orientada a objetos.
DAW,LM-001,15,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,1,sí,no,Antes de esto conviene saber: Comprender cómo funciona una aplicación conectada.
DAM,LM-001,15,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,1,sí,no,Antes de esto conviene saber: Comprender cómo funciona una aplicación conectada.
DAW,LM-002,16,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,1,sí,no,Antes de esto conviene saber: Estructurar información con lenguajes de marcas.
DAM,LM-002,16,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,1,sí,no,Antes de esto conviene saber: Estructurar información con lenguajes de marcas.
DAW,ED-001,17,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,1,sí,no,"Antes de esto conviene saber: Gestionar archivos, carpetas y copias de seguridad."
DAM,ED-001,17,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,1,sí,no,"Antes de esto conviene saber: Gestionar archivos, carpetas y copias de seguridad."
DAW,ED-002,18,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,2,sí,no,"Antes de esto conviene saber: Usar Git y un flujo de trabajo colaborativo; Gestionar errores, ficheros y pruebas."
DAM,ED-002,18,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,2,sí,no,"Antes de esto conviene saber: Usar Git y un flujo de trabajo colaborativo; Gestionar errores, ficheros y pruebas."
