id_slug,tipo,ciclo_siglas,titulo,descripcion,entidad,modalidad,localidad,provincia,fecha_inicio,fecha_fin,estado,coste,certificacion,practicas,fuente_url,tags,prioridad,encaje_1_5,accion_sugerida,ultima_revision,notas
af_camara_contabilidad_facturacion_pymes_2026,curso_complementario,AF,Gestión integral de contabilidad y facturación para pymes,"Formación presencial de 150 horas para practicar contabilidad, facturación y procesos administrativos habituales en pequeñas empresas.",Cámara de Comercio de Granada,presencial,Granada,Granada,2026-10-05,2026-11-17,abierto,gratuito,diploma o acreditación de la entidad,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-gratuito-gestion-integral-de-contabilidad-y-facturacion-para-pymes-2673141,contabilidad|facturacion|pymes|granada,Alta,5,"Comprobar los requisitos e inscribirse; después, convertir los ejercicios del curso en una evidencia de portfolio administrativo.",2026-08-04,Convocatoria publicada para 2026; formación presencial en Granada.
af_camara_nominas_seguros_sociales_2026,curso_complementario,AF,Gestión de nóminas y seguros sociales para tu empresa,"Curso presencial de 60 horas sobre nóminas, cotización, IRPF, contratos y uso aplicado de herramientas de gestión laboral.",Cámara de Comercio de Granada,presencial,Granada,Granada,2026-10-19,2026-11-30,abierto,gratuito,diploma o acreditación de la entidad,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-gratuito-gestion-de-nominas-y-seguros-sociales-para-tu-empresa-2672316,nominas|seguros_sociales|irpf|granada,Alta,5,Solicitar plaza y preparar antes una nómina sencilla para medir la mejora al terminar.,2026-08-04,Convocatoria publicada para 2026; la admisión depende de los requisitos del programa.
af_camara_emprendimiento_idea_accion_2026,curso_complementario,AF,De la idea a la acción: emprendimiento y puesta en marcha,"Formación de 30 horas para validar una idea, definir modelo de negocio y preparar los primeros pasos administrativos de una empresa.",Cámara de Comercio de Granada,presencial,Vélez de Benaudalla,Granada,2026-09-24,2026-10-15,abierto,gratuito,diploma o acreditación de la entidad,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-grautito-de-la-idea-a-la-accion.-emprendimiento-y-puesta-en-marcha-de-proyectos-empresariales-2673044,emprendimiento|plan_empresa|modelo_negocio|granada,Media,4,Inscribirse si puede desplazarse y utilizar una idea real como caso de trabajo durante el curso.,2026-08-04,Convocatoria publicada para 2026; confirmar disponibilidad de plazas.
af_camara_auxiliar_administrativo_2026,curso_basico,AF,Auxiliar administrativo,"Itinerario de 180 horas orientado a tareas de oficina, atención, documentación y empleabilidad administrativa.",Cámara de Comercio de Granada,presencial,Granada,Granada,2026-05-20,2026-07-10,historico_util,gratuito,diploma,posible,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-empleo/curso-gratuito-auxiliar-administrativo-a-2632051,auxiliar_administrativo|oficina|talento_joven|granada,Media,4,Revisar el temario y activar avisos de Talento Joven para detectar una reedición equivalente.,2026-08-04,Edición finalizada. Sigue siendo útil como referencia del perfil y porque estos itinerarios pueden repetirse en nuevas convocatorias.
af_aula_mentor_nominas_seguros_sociales,curso_complementario,AF,Nóminas y seguros sociales,"Curso online tutorizado para trabajar contratos, salario, cotización, recibos de nómina y obligaciones con la Seguridad Social.",Aula Mentor - Ministerio de Educación,online tutorizada,Online,Online,,,activo,a revisar según aula,certificado de aprovechamiento,no,https://aulamentor.es/wp-content/uploads/2025/02/Curso-ADG-Nominas-y-seguros-sociales.pdf,nominas|contratos|cotizacion|aula_mentor,Alta,5,"Localizar un aula de matrícula, consultar precio y comenzar el curso si necesita reforzar gestión laboral.",2026-08-04,Oferta de matrícula permanente sujeta a disponibilidad del Aula Mentor. No aplica una fecha única de convocatoria.
af_aula_mentor_iniciacion_office,curso_basico,AF,Iniciación a Office,"Curso online para dominar funciones esenciales de procesador de textos, hojas de cálculo y presentaciones usadas en administración.",Aula Mentor - Ministerio de Educación,online tutorizada,Online,Online,,,activo,a revisar según aula,certificado de aprovechamiento,no,https://aulamentor.es/curso-de-iniciacion-a-office-online/,office|excel|word|ofimatica,Media,4,"Realizar una autoevaluación y matricularse si aún tarda demasiado en crear documentos, tablas o informes.",2026-08-04,Matrícula permanente sujeta a disponibilidad del aula; no aplica una fecha única de convocatoria.
af_excel_formacion_oficial,curso_basico,AF,Formación oficial de Microsoft Excel,"Centro de aprendizaje con guías sobre fórmulas, tablas, gráficos, filtros, validación y análisis de datos administrativos.",Microsoft,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://support.microsoft.com/es-es/excel/,excel|hojas_calculo|ofimatica|datos,Alta,5,Completar esta semana una guía y aplicarla a un presupuesto o registro de facturas propio.,2026-08-04,Recurso permanente; no aplica fecha de convocatoria.
af_excel_power_query_power_pivot,curso_complementario,AF,Power Query y Power Pivot en Excel,"Ruta para importar, limpiar, relacionar y analizar datos de facturación, ventas o tesorería sin repetir tareas manuales.",Microsoft,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://support.microsoft.com/es-es/office/learn-to-use-power-query-and-power-pivot-in-excel-42d93c76-6bfb-44b1-bc8c-9c1e73f6c0e1,power_query|power_pivot|excel|automatizacion,Media,5,"Importar dos archivos CSV de ejemplo, limpiarlos y construir un modelo relacionado con actualización automática.",2026-08-04,Recurso permanente; algunas funciones dependen de la edición de Excel.
af_power_bi_ruta_aprendizaje,curso_complementario,AF,Ruta de aprendizaje de Power BI,"Módulos oficiales para conectar datos, preparar modelos y crear informes visuales útiles para control de gestión.",Microsoft Learn,online autodirigida,Online,Online,,,activo,gratuito,insignias de Microsoft Learn,no,https://learn.microsoft.com/es-es/training/powerplatform/power-bi,power_bi|dashboard|control_gestion|datos,Alta,5,"Completar el módulo inicial y crear un panel con ingresos, gastos, margen y evolución mensual.",2026-08-04,Ruta permanente y modular; no aplica fecha de convocatoria.
af_incibe_kit_concienciacion,recurso,AF,Kit de concienciación en ciberseguridad para empresas,"Material práctico para aprender a proteger facturas, nóminas, datos personales, correo y documentación empresarial.",INCIBE,online,Online,Online,,,activo,gratuito,no,no,https://www.incibe.es/empresas/formacion/kit-concienciacion,ciberseguridad|proteccion_datos|empresa|phishing,Media,4,Completar el autodiagnóstico y redactar un protocolo breve para evitar fraude por correo y facturas falsas.,2026-08-04,Recurso oficial permanente; no aplica fecha de convocatoria.
