id_slug,tipo,ciclo_siglas,titulo,descripcion,entidad,modalidad,localidad,provincia,fecha_inicio,fecha_fin,estado,coste,certificacion,practicas,fuente_url,tags,prioridad,encaje_1_5,accion_sugerida,ultima_revision,notas
daw_andalucia_vuela_html_css,curso_basico,DAW,Iniciación a la programación web con HTML y CSS,"Curso tutorizado de 10 horas para practicar estructura HTML, estilos CSS y fundamentos de una página web.",Andalucía Vuela,online tutorizada,Online,Andalucía,,,activo,gratuito,no consta,no,https://aulavirtual.andaluciavuela.es/course/info.php?id=6231,html|css|frontend|andalucia,Media,5,"Abrir la ficha, comprobar la próxima edición disponible y terminar una landing publicada en GitHub Pages.",2026-08-03,Las ediciones se abren por convocatorias; fecha pendiente de convocatoria concreta.
daw_mdn_aprende_desarrollo_web,curso_basico,DAW,Aprende desarrollo web con MDN,"Ruta estructurada sobre HTML, CSS, JavaScript, accesibilidad, diseño responsive y funcionamiento de la web.",Mozilla MDN,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://developer.mozilla.org/es/docs/Learn_web_development,html|css|javascript|accesibilidad|frontend,Alta,5,Completar los módulos iniciales y aplicar cada bloque en un proyecto propio con commits semanales.,2026-08-03,Documentación oficial; algunos contenidos avanzados pueden estar en inglés.
daw_microsoft_web_dev_beginners,curso_basico,DAW,Web Development for Beginners,"Currículo práctico de 24 lecciones con proyectos de HTML, CSS y JavaScript mantenido por Microsoft.",Microsoft,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://github.com/microsoft/Web-Dev-For-Beginners,html|css|javascript|proyectos|github,Media,5,"Elegir una lección esta semana, completar su proyecto y redactar un README propio.",2026-08-03,Repositorio educativo oficial de Microsoft.
daw_react_learn,curso_complementario,DAW,Learn React,"Curso oficial de React sobre componentes, JSX, eventos, estado y composición de interfaces.",React,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://react.dev/learn,react|frontend|componentes|javascript,Alta,5,Completar Quick Start y reconstruir una pantalla del portfolio usando componentes reutilizables.,2026-08-03,Requiere fundamentos previos de JavaScript.
daw_nextjs_learn,curso_complementario,DAW,Learn Next.js,"Curso oficial para construir una aplicación full-stack con rutas, datos, autenticación, accesibilidad y despliegue.",Vercel,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://nextjs.org/learn,nextjs|react|fullstack|typescript|despliegue,Alta,5,Completar los primeros capítulos y desplegar una versión funcional del proyecto del curso.,2026-08-03,Recomendable después de dominar JavaScript y React.
daw_github_skills,curso_complementario,DAW,GitHub Skills,"Cursos interactivos para practicar repositorios, ramas, pull requests, GitHub Pages y automatización.",GitHub,online interactiva,Online,Online,,,activo,gratuito,no consta,no,https://skills.github.com/,git|github|pull_request|actions|colaboracion,Media,5,Completar Introduction to GitHub y dejar un pull request revisable en un repositorio propio.,2026-08-03,Los ejercicios crean repositorios en la cuenta del estudiante.
dam_andalucia_vuela_iniciacion_programacion,curso_basico,DAM,Iniciación a la programación,"Curso gratuito de fundamentos de programación con variables, estructuras de control y lenguajes como Python y JavaScript.",Andalucía Vuela,online autodirigida,Online,Andalucía,,,activo,gratuito,no consta,no,https://aulavirtual.andaluciavuela.es/blocks/sand_search/viewcourse.php?b_abierta=1&b_categoria=0&b_iniciativa=0&b_municipios=&b_order=0&b_planformativo=0&b_provincias=&b_subcategoria=0&b_texto=&b_tipo=0&idconv=136&idcourse=6063&ihidden=0&page=0&perpage=20,programacion|fundamentos|python|javascript|andalucia,Media,4,"Completar el curso y convertir dos ejercicios en programas con entrada, validación y salida documentada.",2026-08-03,Fecha pendiente de convocatoria si la edición requiere inscripción.
dam_dev_java_learn,curso_basico,DAM,Learn Java,"Ruta oficial con sintaxis, orientación a objetos, colecciones, streams y APIs fundamentales de Java.",Oracle Java,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://dev.java/learn/,java|poo|colecciones|streams|jvm,Alta,5,Completar fundamentos y publicar una aplicación de consola con pruebas unitarias y README.,2026-08-03,Fuente oficial del ecosistema Java.
dam_android_basics_compose,curso_basico,DAM,Android Basics with Compose,Curso oficial para crear aplicaciones Android con Kotlin y Jetpack Compose desde nivel inicial.,Android Developers,online autodirigida,Online,Online,,,activo,gratuito,no consta,no,https://developer.android.com/courses/android-basics-compose/course,android|kotlin|compose|movil,Alta,5,Terminar la primera unidad y publicar la primera aplicación con capturas y APK de prueba.,2026-08-03,Curso oficial recomendado para empezar en Android.
dam_kotlin_get_started,curso_basico,DAM,Get started with Kotlin,"Ruta oficial para aprender Kotlin y comenzar proyectos JVM, Android o multiplataforma.",JetBrains Kotlin,online autodirigida,Online,Online,,,activo,gratuito,no,no,https://kotlinlang.org/docs/getting-started.html,kotlin|jvm|android|multiplataforma,Media,5,"Completar el tour y crear un programa con clases, colecciones y pruebas.",2026-08-03,Documentación oficial de Kotlin.
