video_recurso_id,tipo_recurso_youtube,video_titulo,canal,tipo_canal,idioma,subtitulos,youtube_video_id,youtube_playlist_id,youtube_url,canal_url,tema_principal,fiabilidad_1_5,motivo_fiabilidad,estado_url,estado_embed,permite_descarga,modo_uso,ultima_revision,notas_recurso
YT-ACTIONS-001,video,GitHub Actions: automatización y CI/CD,MoureDev by Brais Moure,creador_profesional_verificado,es,revisar_en_youtube,pNtcTmCiXzw,,https://www.youtube.com/watch?v=pNtcTmCiXzw,https://www.youtube.com/@mouredev,github_actions_ci_cd,4.5,Contenido específico de automatización de repositorios.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-AEAT-VERIFACTU-001,video,Así es VERI*FACTU,Agencia Tributaria,organismo_publico_oficial,es,revisar_en_youtube,jjwGyYH5ZSM,,https://www.youtube.com/watch?v=jjwGyYH5ZSM,https://sede.agenciatributaria.gob.es/Sede/iva/sistemas-informaticos-facturacion-verifactu/informacion-general/videos.html,facturacion_verifactu_cumplimiento_fiscal,5.0,Vídeo oficial de la Agencia Tributaria sobre el sistema VERI*FACTU.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-AI-RESP-001,video,Programación e inteligencia artificial responsable,MoureDev by Brais Moure,creador_profesional_verificado,es,revisar_en_youtube,uquw8yUKaYM,,https://www.youtube.com/watch?v=uquw8yUKaYM,https://www.youtube.com/@mouredev,ia_responsable_datos,4.0,Recurso profesional para introducir uso responsable de IA en desarrollo.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-ANDROID-COMPOSE-001,video,Welcome to Android Basics with Compose,Android Developers,fabricante_oficial,en,si_revisar_idioma,lNKk-RSL7wg,,https://www.youtube.com/watch?v=lNKk-RSL7wg,https://www.youtube.com/@AndroidDevelopers,android_compose_ui,5.0,Canal oficial del equipo Android.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-ANDROID-DATA-001,video,How to build a data layer,Android Developers,fabricante_oficial,en,si_revisar_idioma,P125nWICYps,,https://www.youtube.com/watch?v=P125nWICYps,https://www.youtube.com/@AndroidDevelopers,android_data_layer_architecture,5.0,Canal oficial Android; arquitectura y capa de datos.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-ANDROID-ROOM-001,video,Room: persistencia local en Android,Android Developers,fabricante_oficial,en,si_revisar_idioma,sU-ot_Oz3AE,,https://www.youtube.com/watch?v=sU-ot_Oz3AE,https://www.youtube.com/@AndroidDevelopers,android_room_sql,5.0,Canal oficial Android; persistencia Room.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-CANVA-BRAND-001,video,Kit de marca en Canva,Canva Latinoamérica,empresa_oficial,es,revisar_en_youtube,havARJ_ZQg8,,https://www.youtube.com/watch?v=havARJ_ZQg8,https://www.youtube.com/@CanvaLatinoamerica,identidad_visual_branding,5.0,Canal oficial de Canva para Latinoamérica.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-CSS-001,video,Curso de CSS,jonmircha,creador_profesional,es,revisar_en_youtube,K3xmRF8ab1o,,https://www.youtube.com/watch?v=K3xmRF8ab1o,https://www.youtube.com/@jonmircha,css_presentacion,4.5,Curso completo de estilos web.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-DB-DESIGN-001,video,Diseño de bases de datos,jonmircha,creador_profesional,es,revisar_en_youtube,HXE169-n5pM,,https://www.youtube.com/watch?v=HXE169-n5pM,https://www.youtube.com/@jonmircha,modelo_relacional,4.5,Curso técnico específico sobre diseño de bases de datos.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
YT-DB-MODEL-001,video,Modelado de bases de datos,jonmircha,creador_profesional,es,revisar_en_youtube,aFgHVE_Y_YU,,https://www.youtube.com/watch?v=aFgHVE_Y_YU,https://www.youtube.com/@jonmircha,modelo_entidad_relacion,4.5,Explica el paso de requisitos a modelos de datos.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,
