ciclo_siglas,video_recurso_id,tipo_recurso_youtube,video_titulo,canal,tipo_canal,idioma,subtitulos,youtube_video_id,youtube_playlist_id,youtube_url,canal_url,tema_principal,fiabilidad_1_5,motivo_fiabilidad,estado_url,estado_embed,permite_descarga,modo_uso,ultima_revision,notas_recurso,duracion_minutos_verificada,visitas_verificadas,fecha_verificacion_metricas,fuente_metricas,calidad_verificacion_metricas,canal_fiable,cumple_min_45m,cumple_min_300k,relevancia_directa_ciclo,es_short_o_microvideo,estado_curacion_ia,accion_recomendada_ia,motivo_reemplazo,tipo_encaje_sustituto,video_sustituto_id,video_sustituto_titulo,video_sustituto_url,publicar_como_principal,regla_automatica_ia
DAW,YT-GIT-001,video_largo,Curso COMPLETO de GIT y GITHUB desde CERO para PRINCIPIANTES,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,3GymExBkKjE,,https://www.youtube.com/watch?v=3GymExBkKjE,,Git y GitHub,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",305,1145997,2026-08-05,https://www.youtube.com/watch?v=3GymExBkKjE,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-JAVA-001,video_largo,Curso Completo de Java desde Cero para Principiantes,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,JOAqpdM36wI,,https://www.youtube.com/watch?v=JOAqpdM36wI,,Java y POO,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",528,394029,2026-08-05,https://www.youtube.com/watch?v=JOAqpdM36wI,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-SQL-001,video_largo,Curso COMPLETO de SQL y BASES DE DATOS Desde Cero para PRINCIPIANTES,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,OuJerKzV5T0,,https://www.youtube.com/watch?v=OuJerKzV5T0,,SQL y bases de datos,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",411,1740560,2026-08-05,https://www.youtube.com/watch?v=OuJerKzV5T0,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-JS-SOYDALTO-001,video_largo,Curso de JAVASCRIPT desde CERO (Completo) - Nivel JUNIOR,Soy Dalto,creador_formativo_verificado,es,revisar_en_youtube,z95mZVUcJ-E,,https://www.youtube.com/watch?v=z95mZVUcJ-E,,JavaScript,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",600,5081365,2026-08-05,https://www.youtube.com/watch?v=z95mZVUcJ-E,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-HTMLCSS-SOYDALTO-001,video_largo,Curso de HTML y CSS desde CERO (Completo),Soy Dalto,creador_formativo_verificado,es,revisar_en_youtube,ELSm-G201Ls,,https://www.youtube.com/watch?v=ELSm-G201Ls,,"HTML, CSS y responsive",5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",1423,3625279,2026-08-05,https://www.youtube.com/watch?v=ELSm-G201Ls,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-REACT-MIDU-001,video_largo,CURSO REACT.JS - Aprende desde cero,midulive,creador_formativo_verificado,es,revisar_en_youtube,7iobxzd_2wY,,https://www.youtube.com/watch?v=7iobxzd_2wY,,React,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",144,1381826,2026-08-05,https://www.youtube.com/watch?v=7iobxzd_2wY,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-PYTHON-MIDU-001,video_largo,Curso COMPLETO de Python DESDE CERO para Principiantes 2025,midudev,creador_formativo_verificado,es,revisar_en_youtube,TkN2i-_4N4g,,https://www.youtube.com/watch?v=TkN2i-_4N4g,,Fundamentos de programación con Python,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,recurso_apoyo,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",491,1532653,2026-08-05,https://www.youtube.com/watch?v=TkN2i-_4N4g,VERIFICADA,SI,SI,SI,PARCIAL,NO,APROBADO_APOYO,MANTENER,,,,,,NO_USAR_COMO_CURSO_NUCLEAR,PUBLICAR_SOLO_COMO_APOYO
DAW,YT-VSCODE-001,video_largo,Curso completo de Visual Studio Code desde cero,HolaMundo,creador_formativo_verificado,es,revisar_en_youtube,Ei1y51K8jQk,,https://www.youtube.com/watch?v=Ei1y51K8jQk,,Visual Studio Code,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,recurso_apoyo,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",82,1100000,2026-08-05,https://www.youtube.com/watch?v=Ei1y51K8jQk,APROXIMADA_CONSERVADORA,SI,SI,SI,PARCIAL,NO,APROBADO_APOYO,MANTENER,,,,,,NO_USAR_COMO_CURSO_NUCLEAR,PUBLICAR_SOLO_COMO_APOYO
DAM,YT-GIT-001,video_largo,Curso COMPLETO de GIT y GITHUB desde CERO para PRINCIPIANTES,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,3GymExBkKjE,,https://www.youtube.com/watch?v=3GymExBkKjE,,Git y GitHub,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",305,1145997,2026-08-05,https://www.youtube.com/watch?v=3GymExBkKjE,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAM,YT-JAVA-001,video_largo,Curso Completo de Java desde Cero para Principiantes,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,JOAqpdM36wI,,https://www.youtube.com/watch?v=JOAqpdM36wI,,Java y POO,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",528,394029,2026-08-05,https://www.youtube.com/watch?v=JOAqpdM36wI,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
