ciclo_siglas,video_recurso_id,tipo_recurso_youtube,video_titulo,canal,tipo_canal,idioma,subtitulos,youtube_video_id,youtube_playlist_id,youtube_url,canal_url,tema_principal,fiabilidad_1_5,motivo_fiabilidad,estado_url,estado_embed,permite_descarga,modo_uso,ultima_revision,notas_recurso,duracion_minutos_verificada,visitas_verificadas,fecha_verificacion_metricas,fuente_metricas,calidad_verificacion_metricas,canal_fiable,cumple_min_45m,cumple_min_300k,relevancia_directa_ciclo,es_short_o_microvideo,estado_curacion_ia,accion_recomendada_ia,motivo_reemplazo,tipo_encaje_sustituto,video_sustituto_id,video_sustituto_titulo,video_sustituto_url,publicar_como_principal,regla_automatica_ia
DAW,YT-ACTIONS-001,video,GitHub Actions: automatización y CI/CD,MoureDev by Brais Moure,creador_profesional_verificado,es,revisar_en_youtube,pNtcTmCiXzw,,https://www.youtube.com/watch?v=pNtcTmCiXzw,https://www.youtube.com/@mouredev,github_actions_ci_cd,4.5,Contenido específico de automatización de repositorios.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=pNtcTmCiXzw,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-AI-RESP-001,video,Programación e inteligencia artificial responsable,MoureDev by Brais Moure,creador_profesional_verificado,es,revisar_en_youtube,uquw8yUKaYM,,https://www.youtube.com/watch?v=uquw8yUKaYM,https://www.youtube.com/@mouredev,ia_responsable_datos,4.0,Recurso profesional para introducir uso responsable de IA en desarrollo.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=uquw8yUKaYM,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,PARCIAL,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-ANDROID-DATA-001,video,How to build a data layer,Android Developers,fabricante_oficial,en,si_revisar_idioma,P125nWICYps,,https://www.youtube.com/watch?v=P125nWICYps,https://www.youtube.com/@AndroidDevelopers,android_data_layer_architecture,5.0,Canal oficial Android; arquitectura y capa de datos.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,10,6370,2026-08-05,https://www.youtube.com/watch?v=P125nWICYps,APROXIMADA,SI,NO,NO,NO,SI,REEMPLAZAR_INMEDIATAMENTE,ELIMINAR_ASIGNACION,El recurso no está relacionado directamente con este ciclo formativo.,,,,,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REEMPLAZAR_INMEDIATAMENTE
DAW,YT-CANVA-BRAND-001,video,Kit de marca en Canva,Canva Latinoamérica,empresa_oficial,es,revisar_en_youtube,havARJ_ZQg8,,https://www.youtube.com/watch?v=havARJ_ZQg8,https://www.youtube.com/@CanvaLatinoamerica,identidad_visual_branding,5.0,Canal oficial de Canva para Latinoamérica.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=havARJ_ZQg8,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,PARCIAL,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-DB-DESIGN-001,video,Diseño de bases de datos,jonmircha,creador_profesional,es,revisar_en_youtube,HXE169-n5pM,,https://www.youtube.com/watch?v=HXE169-n5pM,https://www.youtube.com/@jonmircha,modelo_relacional,4.5,Curso técnico específico sobre diseño de bases de datos.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=HXE169-n5pM,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,AMPLIO_VALIDO,YT-SQL-001,Curso COMPLETO de SQL y BASES DE DATOS Desde Cero para PRINCIPIANTES,https://www.youtube.com/watch?v=OuJerKzV5T0,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-DOCKER-001,video,Curso de Docker para principiantes,HolaMundo,creador_profesional_verificado,es,revisar_en_youtube,4Dko5W96WHg,,https://www.youtube.com/watch?v=4Dko5W96WHg,https://www.youtube.com/@HolaMundoDev,docker_contenedores_compose,4.5,"Curso capitulado con imágenes, contenedores, volúmenes y Compose.",curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,42,2400000,2026-08-05,https://www.youtube.com/watch?v=4Dko5W96WHg,VERIFICADA,SI,NO,SI,SI,SI,SOLO_COMPLEMENTARIO_FIABLE,MOVER_A_COMPLEMENTARIO,No cumple el filtro estricto: duración inferior a 45 min.,,,,,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=SOLO_COMPLEMENTARIO_FIABLE
DAW,YT-DRIVE-001,video,"Curso completo de Google Drive: organizar, compartir y colaborar",Carlos Cortés Academy,creador_educativo,es,revisar_en_youtube,xBaRjZUVSgc,,https://www.youtube.com/watch?v=xBaRjZUVSgc,https://www.youtube.com/@CarlosCortesAcademy,archivos_nube_colaboracion,4.0,Curso largo con demostración práctica y capítulos.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=xBaRjZUVSgc,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,PARCIAL,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-EXPRESS-001,video,Node.js y Express: API y servidor web,jonmircha,creador_profesional,es,revisar_en_youtube,tDF644vI-gs,,https://www.youtube.com/watch?v=tDF644vI-gs,https://www.youtube.com/@jonmircha,express_api_backend,4.5,"Contenido dirigido a rutas, middleware y APIs.",curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=tDF644vI-gs,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-FIGMA-PLAYLIST-001,playlist,Curso de Figma,jonmircha,creador_profesional,es,revisar_en_youtube,,PLvq-jIkSeTUbpfewvbKLhHctdkgadAy-K,https://www.youtube.com/playlist?list=PLvq-jIkSeTUbpfewvbKLhHctdkgadAy-K,https://www.youtube.com/@jonmircha,figma_ui_ux_prototipo,4.5,Playlist específica para diseño y prototipado de interfaces.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,SI_PLAYLIST_O_SIN_VIDEO_UNICO,REEMPLAZAR_INMEDIATAMENTE,BUSCAR_NUEVO_CANDIDATO,Es una playlist o no tiene un vídeo único auditable; no permite garantizar duración y repercusión por recurso.,,,,,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REEMPLAZAR_INMEDIATAMENTE
DAW,YT-FILES-001,video,Cómo organizar archivos en la computadora | Computación básica,Ronal Mañuico - Computación y Tecnología,creador_educativo,es,revisar_en_youtube,mrN082rtsL0,,https://www.youtube.com/watch?v=mrN082rtsL0,https://www.youtube.com/@RonalManuico,archivos_carpetas_organizacion,4.0,"Tutorial específico, práctico y orientado a principiantes.",curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=mrN082rtsL0,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,PARCIAL,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
