item_id_slug,item_tipo,item_titulo,item_entidad,ciclo_siglas,competencia_id,competencia_titulo,tipo_relacion,orden_preparacion,nivel_minimo_recomendado,obligatoria_para_item,motivo_relacion,video_recurso_id,video_titulo,canal,youtube_url,embed_url_privacidad_mejorada,inicio_segundos,fin_segundos,objetivo_video_en_al_lio,actividad_despues_video,evidencia_minima,fiabilidad_1_5,tipo_cobertura,estado_embed,ultima_revision,estado_curacion_ia,accion_recomendada_ia,motivo_curacion_ia,video_sustituto_id,video_sustituto_url,publicar_como_principal,duracion_minutos_verificada,visitas_verificadas,cumple_min_45m,cumple_min_300k,relevancia_directa_ciclo
daw_andalucia_vuela_html_css,curso_basico,Iniciación a la programación web con HTML y CSS,Andalucía Vuela,DAW,DAW-BAS-003,Resolver problemas mediante algoritmos simples,desarrolla,1,0,no,"Iniciación a la programación web con HTML y CSS se relaciona con Resolver problemas mediante algoritmos simples por su tipo, descripción o etiquetas.",YT-PROG-INTRO-001,Hablemos de programación: fundamentos y pensamiento lógico,jonmircha,https://www.youtube.com/watch?v=BjYrguKBfCo,https://www.youtube-nocookie.com/embed/BjYrguKBfCo?rel=0&enablejsapi=1&cc_load_policy=1,0,0,"Traducir un problema sencillo a pasos, decisiones y repeticiones.",Redacta pseudocódigo de tres problemas cotidianos || Identifica condiciones y bucles necesarios || Prueba casos normales y casos límite,Documento con tres algoritmos y tabla de pruebas,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,YT-PYTHON-MIDU-001,https://www.youtube.com/watch?v=TkN2i-_4N4g,NO_HASTA_VERIFICAR,,,NO_VERIFICADO,NO_VERIFICADO,SI
daw_andalucia_vuela_html_css,curso_basico,Iniciación a la programación web con HTML y CSS,Andalucía Vuela,DAW,DAW-PRO-001,"Programar con variables, decisiones y bucles",desarrolla,2,1,no,"Iniciación a la programación web con HTML y CSS se relaciona con Programar con variables, decisiones y bucles por su tipo, descripción o etiquetas.",YT-JAVA-001,Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=5294&end=11115,5294,11115,"Programar variables, validaciones y decisiones.",Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,APROBADO_PRINCIPAL,MANTENER,,,,SI,528,394029,SI,SI,SI
daw_andalucia_vuela_html_css,curso_basico,Iniciación a la programación web con HTML y CSS,Andalucía Vuela,DAW,DAW-LM-002,Presentar información de forma responsive,desarrolla,3,1,no,"Iniciación a la programación web con HTML y CSS se relaciona con Presentar información de forma responsive por su tipo, descripción o etiquetas.",YT-RESPONSIVE-001,Responsive Web Design,jonmircha,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube-nocookie.com/embed/udGrXWeJp1Y?rel=0&enablejsapi=1&cc_load_policy=1,0,0,Construir una interfaz responsive y comprobarla en varios tamaños.,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,YT-HTMLCSS-SOYDALTO-001,https://www.youtube.com/watch?v=ELSm-G201Ls,NO_HASTA_VERIFICAR,,,NO_VERIFICADO,NO_VERIFICADO,SI
daw_andalucia_vuela_html_css,curso_basico,Iniciación a la programación web con HTML y CSS,Andalucía Vuela,DAW,DAW-BAS-004,Comprender cómo funciona una aplicación conectada,desarrolla,4,0,no,"Iniciación a la programación web con HTML y CSS se relaciona con Comprender cómo funciona una aplicación conectada por su tipo, descripción o etiquetas.",YT-NODE-001,Fundamentos de Node.js,jonmircha,https://www.youtube.com/watch?v=0f26_Enlv38,https://www.youtube-nocookie.com/embed/0f26_Enlv38?rel=0&enablejsapi=1&cc_load_policy=1,0,0,"Distinguir cliente, servidor, red, petición, respuesta y datos.","Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,4.5,parcial_con_practica,revisar_automaticamente_antes_de_publicar,2026-08-04,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,NO_HASTA_VERIFICAR,,,NO_VERIFICADO,NO_VERIFICADO,SI
daw_andalucia_vuela_html_css,curso_basico,Iniciación a la programación web con HTML y CSS,Andalucía Vuela,DAW,DAW-PRO-002,Diseñar funciones y trabajar con colecciones,desarrolla,5,1,no,"Iniciación a la programación web con HTML y CSS se relaciona con Diseñar funciones y trabajar con colecciones por su tipo, descripción o etiquetas.",YT-JAVA-001,Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=11115&end=19586,11115,19586,Separar lógica en funciones y manipular colecciones.,"Separa responsabilidades en funciones pequeñas || Recorre y transforma colecciones correctamente || Gestiona búsquedas, ordenación o agregación básica",Aplicación de consola modular con colección de objetos o datos,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,APROBADO_PRINCIPAL,MANTENER,,,,SI,528,394029,SI,SI,SI
daw_mdn_aprende_desarrollo_web,curso_basico,Aprende desarrollo web con MDN,Mozilla MDN,DAW,DAW-LM-002,Presentar información de forma responsive,desarrolla,1,1,no,"Aprende desarrollo web con MDN se relaciona con Presentar información de forma responsive por su tipo, descripción o etiquetas.",YT-RESPONSIVE-001,Responsive Web Design,jonmircha,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube-nocookie.com/embed/udGrXWeJp1Y?rel=0&enablejsapi=1&cc_load_policy=1,0,0,Construir una interfaz responsive y comprobarla en varios tamaños.,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,YT-HTMLCSS-SOYDALTO-001,https://www.youtube.com/watch?v=ELSm-G201Ls,NO_HASTA_VERIFICAR,,,NO_VERIFICADO,NO_VERIFICADO,SI
daw_mdn_aprende_desarrollo_web,curso_basico,Aprende desarrollo web con MDN,Mozilla MDN,DAW,DAW-CLI-001,Programar interacción con JavaScript en el navegador,desarrolla,2,2,no,"Aprende desarrollo web con MDN se relaciona con Programar interacción con JavaScript en el navegador por su tipo, descripción o etiquetas.",YT-JS-PLAYLIST-001,Curso de JavaScript,jonmircha,https://www.youtube.com/playlist?list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA,https://www.youtube-nocookie.com/embed/videoseries?rel=0&enablejsapi=1&cc_load_policy=1&list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA&listType=playlist,0,0,"Programar eventos, DOM, formularios y estado de interfaz.",Manipula contenido y eventos sin recargas innecesarias || Valida formularios y muestra errores accesibles || Organiza código en módulos y evita variables globales,Aplicación web interactiva con formularios y estado local,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,REEMPLAZAR_INMEDIATAMENTE,REEMPLAZAR_POR_ID,Es una playlist o no tiene un vídeo único auditable; no permite garantizar duración y repercusión por recurso.,YT-JS-SOYDALTO-001,https://www.youtube.com/watch?v=z95mZVUcJ-E,NO,,,NO_VERIFICADO,NO_VERIFICADO,SI
daw_mdn_aprende_desarrollo_web,curso_basico,Aprende desarrollo web con MDN,Mozilla MDN,DAW,DAW-BAS-004,Comprender cómo funciona una aplicación conectada,desarrolla,3,0,no,"Aprende desarrollo web con MDN se relaciona con Comprender cómo funciona una aplicación conectada por su tipo, descripción o etiquetas.",YT-NODE-001,Fundamentos de Node.js,jonmircha,https://www.youtube.com/watch?v=0f26_Enlv38,https://www.youtube-nocookie.com/embed/0f26_Enlv38?rel=0&enablejsapi=1&cc_load_policy=1,0,0,"Distinguir cliente, servidor, red, petición, respuesta y datos.","Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,4.5,parcial_con_practica,revisar_automaticamente_antes_de_publicar,2026-08-04,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,NO_HASTA_VERIFICAR,,,NO_VERIFICADO,NO_VERIFICADO,SI
daw_mdn_aprende_desarrollo_web,curso_basico,Aprende desarrollo web con MDN,Mozilla MDN,DAW,DAW-PRO-001,"Programar con variables, decisiones y bucles",desarrolla,4,1,no,"Aprende desarrollo web con MDN se relaciona con Programar con variables, decisiones y bucles por su tipo, descripción o etiquetas.",YT-JAVA-001,Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=5294&end=11115,5294,11115,"Programar variables, validaciones y decisiones.",Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,APROBADO_PRINCIPAL,MANTENER,,,,SI,528,394029,SI,SI,SI
daw_mdn_aprende_desarrollo_web,curso_basico,Aprende desarrollo web con MDN,Mozilla MDN,DAW,DAW-LM-001,Estructurar información con lenguajes de marcas,desarrolla,5,1,no,"Aprende desarrollo web con MDN se relaciona con Estructurar información con lenguajes de marcas por su tipo, descripción o etiquetas.",YT-HTML-001,Curso de HTML,jonmircha,https://www.youtube.com/watch?v=-oK6zL01fNM,https://www.youtube-nocookie.com/embed/-oK6zL01fNM?rel=0&enablejsapi=1&cc_load_policy=1,0,0,Estructurar información usando etiquetas semánticas y jerarquía correcta.,"Usa estructura semántica y validable || Diferencia HTML, XML y JSON y sus casos de uso || Interpreta o genera datos estructurados",Conjunto de documentos validados y ejemplo de consumo,4.5,directa,revisar_automaticamente_antes_de_publicar,2026-08-04,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,YT-HTMLCSS-SOYDALTO-001,https://www.youtube.com/watch?v=ELSm-G201Ls,NO_HASTA_VERIFICAR,,,NO_VERIFICADO,NO_VERIFICADO,SI
